train accept rate, train PE
1.0, 1.0
0.9166666666666666, 0.9565217391304348
0.8333333333333334, 0.8695652173913043
1.0, 1.0
0.9166666666666666, 0.9565217391304348
0.8333333333333334, 0.6956521739130435
0.9166666666666666, 0.6956521739130435
0.8333333333333334, 0.5652173913043478
1.0, 1.0
0.8333333333333334, 0.8260869565217391
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.7038777908343126
0.9166666666666666, 0.782608695652174
1.0, 1.0
0.9166666666666666, 0.9130434782608695
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.6874265569917744
0.5833333333333334, 0.30434782608695654
0.8333333333333334, 0.6521739130434783
0.9166666666666666, 0.6086956521739131
0.8333333333333334, 0.8014101057579318
1.0, 1.0
0.8333333333333334, 0.6086956521739131
0.8333333333333334, 0.9012925969447708
1.0, 1.0
0.9166666666666666, 0.9717978848413631
0.9166666666666666, 0.8096357226792009
1.0, 1.0
0.9166666666666666, 0.9224441833137486
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.9565217391304348
0.9166666666666666, 0.8965922444183314
0.9166666666666666, 0.9565217391304348
0.5833333333333334, 0.15041128084606345
0.9166666666666666, 0.5217391304347826
0.9166666666666666, 0.799059929494712
0.9166666666666666, 0.8965922444183314
0.9166666666666666, 0.5652173913043478
0.9166666666666666, 0.9130434782608695
1.0, 1.0
0.9166666666666666, 0.5217391304347826
1.0, 1.0
0.8333333333333334, 0.8260869565217391
0.75, 0.782608695652174
1.0, 1.0
1.0, 1.0
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.9130434782608695
1.0, 1.0
0.9166666666666666, 0.8260869565217391
0.9166666666666666, 0.9565217391304348
1.0, 1.0
0.8333333333333334, 0.7262044653349001
0.9166666666666666, 0.8589894242068156
0.9166666666666666, 0.6956521739130435
1.0, 1.0
0.8333333333333334, 0.8119858989424207
0.9166666666666666, 0.8695652173913043
0.9166666666666666, 0.9565217391304348
0.9166666666666666, 0.8707403055229143
0.9166666666666666, 0.8260869565217391
0.8333333333333334, 0.8695652173913043
1.0, 1.0
0.9166666666666666, 0.9294947121034077
0.8333333333333334, 0.6792009400705052
1.0, 1.0
0.9166666666666666, 0.9576968272620446
0.8333333333333334, 0.3501762632197415
0.8333333333333334, 0.7391304347826086
0.9166666666666666, 0.9565217391304348
0.5833333333333334, 0.2608695652173913
0.9166666666666666, 0.9565217391304348
0.9166666666666666, 0.6956521739130435
1.0, 1.0
0.9166666666666666, 0.8695652173913043
0.9166666666666666, 0.8695652173913043
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.43478260869565216
1.0, 1.0
1.0, 1.0
0.8333333333333334, 0.6662749706227967
1.0, 1.0
0.8333333333333334, 0.5405405405405406
0.75, 0.3078730904817861
0.8333333333333334, 0.8260869565217391
1.0, 1.0
0.9166666666666666, 0.5863689776733255
0.9166666666666666, 0.9565217391304348
0.8333333333333334, 0.8695652173913043
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.7403055229142186
1.0, 1.0
0.9166666666666666, 0.8695652173913043
0.8333333333333334, 0.8260869565217391
1.0, 1.0
1.0, 1.0
1.0, 1.0
0.9166666666666666, 0.7461809635722679
